"Number";"Version";"ID";"Created_On";"Description";"Name";"Level";"LOD";"File";"Creator";"Project";"Revision";"Domain";"Status";"Zone"
"PMC-00159";"001";"PMC-00159-01-001";"07/11/2016";"";"CLI_TPM_EA_ALL_MEP_300_01";"ALL";"300";"CLI_TPM_EA_ALL_MEP_300_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"EA-East"
"PMC-00158";"001";"PMC-00158-10-001";"07/11/2016";"";"CLI_TPM_EW_ALL_ARC_400_10";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"EW-East Wing"
"PMC-00156";"001";"PMC-00156-09-001";"13/10/2016";"";"CLI_TPM_BU_ALL_ARC_400_09";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_09.ifc";"think project";"Klinik";"09";"Architecture";"in progress";"BU-Building"
"PMC-00155";"001";"PMC-00155-08-001";"06/10/2016";"bim_1190_utf8_test2";"CLI_TPM_BU_ALL_ARC_400_08";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_08.ifc";"think project";"Klinik";"08";"Architecture";"shared";"BU-Building"
"PMC-00154";"001";"PMC-00154-07-001";"06/10/2016";"bim_1190_utf8_test";"CLI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Klinik";"07";"Architecture";"shared";"BU-Building"
"PMC-00153";"001";"PMC-00153-10-001";"30/09/2016";"bim1190_test1";"CLI_TPM_AT_ALL_ARC_200_10";"ALL";"200";"CLI_TPM_AT_ALL_ARC_200_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"AT-Atrium"
"PMC-00140";"001";"PMC-00140-01-001";"24/08/2016";"bim_1170_3";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"BU-Building"
"PMC-00135";"001";"PMC-00135-10-001";"22/08/2016";"";"CLI_TPM_AT_ALL_ARC_600_10";"ALL";"600";"CLI_TPM_AT_ALL_ARC_600_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"AT-Atrium"
"PMC-00134";"001";"PMC-00134-10-001";"22/08/2016";"";"CLI_TPM_AT_ALL_ARC_500_10";"ALL";"500";"CLI_TPM_AT_ALL_ARC_500_10.ifc";"think project";"Klinik";"10";"Architecture";"in progress";"AT-Atrium"
"PMC-00133";"001";"PMC-00133-01-001";"17/08/2016";"test sed data generation 18Aug(2)";"CLI_TPM_AT_ALL_ARC_500_01";"ALL";"500";"CLI_TPM_AT_ALL_ARC_500_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
