"Created_On";"Creator";"ID";"Last_Changed";"Name";"Revision";"Description";"Coordination_Type";"Phase";"Status";"Version";"Number"
"21/04/2016";"Velev, Jordan";"CMC-bim973_2-02-001";"10/11/2016";"bim973_2";"02";"";"";"";"";"1";"CMC-bim973_2"
"07/11/2016";"Peev, Georgi";"CMC-MAV_TEST_2-01-890";"07/11/2016";"MAV_TEST_2";"01";"";"";"";"";"890";"CMC-MAV_TEST_2"
"07/11/2016";"Vladimirova, Marianna";"CMC-Testing_model-02-067";"07/11/2016";"Testing_model";"02";"";"";"";"";"67";"CMC-Testing_model"
"07/11/2016";"Peev, Georgi";"CMC-MAV_Model_1-01-889";"07/11/2016";"MAV_Model_1";"01";"";"";"";"";"889";"CMC-MAV_Model_1"
"04/11/2016";"Peev, Georgi";"CMC-TestCMC_1478251773-01-888";"04/11/2016";"TestCMC_1478251773";"01";"";"";"";"";"888";"CMC-TestCMC_1478251773"
"24/10/2016";"Peev, Georgi";"CMC-TestCMC_1477294480-01-887";"24/10/2016";"TestCMC_1477294480";"01";"";"";"";"";"887";"CMC-TestCMC_1477294480"
"21/10/2016";"Zacharias, David";"CMC-EMPTY_ONE_15-02-066";"21/10/2016";"EMPTY_ONE_15";"02";"";"";"";"";"66";"CMC-EMPTY_ONE_15"
"21/10/2016";"Zacharias, David";"CMC-EMPTY_ONE_11-06-021";"21/10/2016";"EMPTY_ONE_11";"06";"";"";"";"";"21";"CMC-EMPTY_ONE_11"
"20/10/2016";"Zacharias, David";"CMC-EMPTY_ONE_11-05-024";"20/10/2016";"EMPTY_ONE_11";"05";"";"";"";"";"24";"CMC-EMPTY_ONE_11"
"20/10/2016";"Zacharias, David";"CMC-EMPTY_ONE_11-04-034";"20/10/2016";"EMPTY_ONE_11";"04";"";"";"";"";"34";"CMC-EMPTY_ONE_11"
"20/10/2016";"Zacharias, David";"CMC-EMPTY_ONE_11-03-045";"20/10/2016";"EMPTY_ONE_11";"03";"";"";"";"";"45";"CMC-EMPTY_ONE_11"
"19/10/2016";"Peev, Georgi";"CMC-TestCMC_1476861994-01-886";"19/10/2016";"TestCMC_1476861994";"01";"";"";"";"";"886";"CMC-TestCMC_1476861994"
"14/10/2016";"Peev, Georgi";"CMC-TestCMC_1476433821-01-885";"14/10/2016";"TestCMC_1476433821";"01";"";"";"";"";"885";"CMC-TestCMC_1476433821"
"13/10/2016";"Ivanova, Teodora, think project!";"CMC-test_5-01-884";"13/10/2016";"test_5";"01";"";"";"";"";"884";"CMC-test_5"
"12/10/2016";"Ivanova, Teodora, think project!";"CMC-test_3-04-033";"12/10/2016";"test_3";"04";"";"";"";"";"33";"CMC-test_3"
"12/10/2016";"Ivanova, Teodora, think project!";"CMC-test_3-03-044";"12/10/2016";"test_3";"03";"";"";"";"";"44";"CMC-test_3"
"12/10/2016";"Ivanova, Teodora, think project!";"CMC-test_3-02-065";"12/10/2016";"test_3";"02";"";"";"";"";"65";"CMC-test_3"
"12/10/2016";"Ivanova, Teodora, think project!";"CMC-test_3-01-883";"12/10/2016";"test_3";"01";"";"";"";"";"883";"CMC-test_3"
"11/10/2016";"Velev, Jordan";"CMC-test123-01-882";"11/10/2016";"test123";"01";"";"";"";"";"882";"CMC-test123"
"11/10/2016";"Ivanova, Teodora, think project!";"CMC-test_4-01-881";"11/10/2016";"test_4";"01";"";"";"";"";"881";"CMC-test_4"
"11/10/2016";"Ivanova, Teodora, think project!";"CMC-test_2-01-880";"11/10/2016";"test_2";"01";"";"";"";"";"880";"CMC-test_2"
"06/10/2016";"Ivanov, Penko";"CMC-bim_1190_utf8_jpn-03-043";"06/10/2016";"bim_1190_utf8_jpn";"03";"";"";"";"";"43";"CMC-bim_1190_utf8_jpn"
"06/10/2016";"Ivanov, Penko";"CMC-bim_1190_utf8_jpn-02-064";"06/10/2016";"bim_1190_utf8_jpn";"02";"";"";"";"";"64";"CMC-bim_1190_utf8_jpn"
"06/10/2016";"Ivanov, Penko";"CMC-bim_1190_utf8_jpn-01-879";"06/10/2016";"bim_1190_utf8_jpn";"01";"";"";"";"";"879";"CMC-bim_1190_utf8_jpn"
"06/10/2016";"Peev, Georgi";"CMC-TestCMC_1475742435-01-878";"06/10/2016";"TestCMC_1475742435";"01";"";"";"";"";"878";"CMC-TestCMC_1475742435"
"30/09/2016";"Ivanova, Teodora, think project!";"CMC-test_1-02-063";"30/09/2016";"test_1";"02";"";"";"";"";"63";"CMC-test_1"
