"Number";"Version";"ID";"Created_On";"Description";"Name";"Level";"LOD";"File";"Creator";"Project";"Revision";"Domain";"Status";"Zone"
"PMC-00159";"001";"PMC-00159-01-001";"07/11/2016";"";"CLI_TPM_EA_ALL_MEP_300_01";"ALL";"300";"CLI_TPM_EA_ALL_MEP_300_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"EA-East"
"PMC-00158";"001";"PMC-00158-10-001";"07/11/2016";"";"CLI_TPM_EW_ALL_ARC_400_10";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"EW-East Wing"
"PMC-00157";"001";"PMC-00157-01-001";"13/10/2016";"";"AQP_TPM_BU_ALL_STR_100_01";"ALL";"100";"AQP_TPM_BU_ALL_STR_100_01.ifc";"think project";"Aquapark";"01";"Structure";"shared";"BU-Building"
"PMC-00156";"001";"PMC-00156-09-001";"13/10/2016";"";"CLI_TPM_BU_ALL_ARC_400_09";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_09.ifc";"think project";"Klinik";"09";"Architecture";"in progress";"BU-Building"
"PMC-00155";"001";"PMC-00155-08-001";"06/10/2016";"bim_1190_utf8_test2";"CLI_TPM_BU_ALL_ARC_400_08";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_08.ifc";"think project";"Klinik";"08";"Architecture";"shared";"BU-Building"
"PMC-00154";"001";"PMC-00154-07-001";"06/10/2016";"bim_1190_utf8_test";"CLI_TPM_BU_ALL_ARC_400_07";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_07.ifc";"think project";"Klinik";"07";"Architecture";"shared";"BU-Building"
"PMC-00153";"001";"PMC-00153-10-001";"30/09/2016";"bim1190_test1";"CLI_TPM_AT_ALL_ARC_200_10";"ALL";"200";"CLI_TPM_AT_ALL_ARC_200_10.ifc";"think project";"Klinik";"10";"Architecture";"shared";"AT-Atrium"
"PMC-00151";"001";"PMC-00151-09-001";"12/09/2016";"test_largeCoord_handling";"ADI_TPM_BU_ALL_ARC_400_09";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_09.ifc";"think project";"Adidas";"09";"Architecture";"shared";"BU-Building"
"PMC-00150";"001";"PMC-00150-09-001";"09/09/2016";"duplex_mm_10km_offset";"ADI_TPM_BU_ALL_ARC_500_09";"ALL";"500";"ADI_TPM_BU_ALL_ARC_500_09.ifc";"think project";"Adidas";"09";"Architecture";"shared";"BU-Building"
"PMC-00149";"001";"PMC-00149-09-001";"09/09/2016";"client_large_coordinates";"ADI_TPM_BU_ALL_ARC_400_09";"ALL";"400";"ADI_TPM_BU_ALL_ARC_400_09.ifc";"think project";"Adidas";"09";"Architecture";"shared";"BU-Building"
