"Creator";"From_Name";"From_ID";"From_Revision";"From_Number";"To_Name";"To_ID";"To_Revision";"From_Number";"Created_On";"Type";"From_Version";"To_Version"
"Dokumentablage, Company, think project!";"";"--";"";"";"";"--";"";"";"";"";"";""
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-02-V-003";"02";"PMC-00010";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC_01";"CMC-00130-02-V-001";"02";"CMC-00130";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_WE_ALL_MEP_400";"PMC-00003-01-V-001";"01";"PMC-00003";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_WE_ALL_MEP_400";"PMC-00003-01-V-001";"01";"PMC-00003";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_WE_ALL_MEP_400";"PMC-00003-01-V-001";"01";"PMC-00003";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-01-V-001";"01";"PMC-00010";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"RFI # - 10000";"RFI-00025-00-V-001";"00";"RFI-00025";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_COORDINATION_STR-ARC-MEP_01";"VPC-00103-00-V-001";"00";"VPC-00103";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_COORDINATION_STR-ARC-MEP_01";"VPC-00104-00-V-001";"00";"VPC-00104";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_PARTIAL-MODEL_ARC[AT]_1";"CMC-00135-01-V-001";"01";"CMC-00135";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_PARTIAL-MODEL_ARC[AT]_1";"CMC-00135-01-V-001";"01";"CMC-00135";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002";"";"";"1";"1"
"Dokumentablage, Company, think project!";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"Structural - Atrium";"VPC-00260-01-V-001";"01";"VPC-00260";"";"";"1";"1"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-01-V-001";"01";"CMC-00137";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-01-V-001";"01";"CMC-00137";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-01-V-001";"01";"CMC-00137";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-01-V-001";"01";"PMC-00010";"";"";"1";"1"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002";"";"";"1";"1"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005";"";"";"1";"1"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-01-V-001";"01";"PMC-00010";"";"";"1";"1"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"TEST GEE 24/03-2";"VPC-00205-01-V-001";"01";"VPC-00205";"";"";"1";"1"
