"Number";"Version";"Name";"Pin_Point";"Date_Due";"ID";"Element_ID";"Level";"Element_ID";"Assigned_To";"Status";"Creator";"Description";"File";"Element_Properties";"Created_On";"Comment";"Comment_History";"Revision"
"VCC-00103";"001";"viewer_test_clash_01";"";"";"VCC-00103-00-001";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"VCC-00051";"001";"ARCH vs. MEP_Clash 1";"x:-47.230, y:16.815, z:2.966";"24/12/2014";"VCC-00051-00-001";"Pipe Types:Fire Protection:1002025";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):163889";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00052";"001";"ARCH vs. MEP_Clash 2";"x:-46.894, y:16.823, z:2.969";"24/12/2014";"VCC-00052-00-001";"Pipe Types:Fire Protection:1002025";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):349706";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00061";"001";"ARCH vs. MEP_Clash 11";"x:-27.998, y:18.684, z:2.982";"24/12/2014";"VCC-00061-00-001";"Pipe Types:Fire Protection:1026611";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):169076";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00062";"001";"ARCH vs. MEP_Clash 12";"x:-43.600, y:43.159, z:7.552";"24/12/2014";"VCC-00062-00-001";"Pipe Types:Fire Protection:1048141";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):216242";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00063";"001";"ARCH vs. MEP_Clash 13";"x:-20.290, y:26.785, z:7.546";"24/12/2014";"VCC-00063-00-001";"Pipe Types:Fire Protection:1051354";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):379701";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00064";"001";"ARCH vs. MEP_Clash 14";"x:-43.476, y:40.311, z:7.570";"24/12/2014";"VCC-00064-00-001";"Pipe Types:Fire Protection:1048215";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):216242";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00065";"001";"ARCH vs. MEP_Clash 15";"x:-19.830, y:20.666, z:2.975";"24/12/2014";"VCC-00065-00-001";"Pipe Types:Fire Protection:1001498";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354757";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00066";"001";"ARCH vs. MEP_Clash 16";"x:-23.616, y:36.243, z:7.545";"24/12/2014";"VCC-00066-00-001";"Pipe Types:Fire Protection:1051688";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):219415";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
"VCC-00067";"001";"ARCH vs. MEP_Clash 17";"x:-19.884, y:23.738, z:2.975";"24/12/2014";"VCC-00067-00-001";"Pipe Types:Fire Protection:1001738";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354757";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"";"";"";"";"";"";"0"
