"Name";"Thumbnail";"Camera";"Selected";"Hidden";"Clipping";"Number";"ID";"Created_On";"Revision";"Version";"Creator"
"testr";"SAUZ.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00102";"VPC-00102-00-001";"Fr 23.09.2016 13:53 +0200";"";"";""
"WM";"TA24.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00101";"VPC-00101-00-001";"Di 26.07.2016 16:07 +0200";"";"";""
"Viewpoint Test";"BZQS.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00100";"VPC-00100-00-001";"Do 02.06.2016 18:37 +0200";"";"";""
"Test Viewpoint";"G4ZQ.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00099";"VPC-00099-00-001";"Fr 22.04.2016 13:33 +0200";"";"";""
"Import BCF";"snapshot.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00095";"VPC-00095-00-001";"Fr 22.04.2016 11:18 +0200";"";"";""
"Import BCF 2";"snapshot.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00096";"VPC-00096-00-001";"Fr 22.04.2016 11:15 +0200";"";"";""
"Import BCF 3";"snapshot.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00097";"VPC-00097-00-001";"Fr 22.04.2016 11:14 +0200";"";"";""
"New Viewpoint";"XURW.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00094";"VPC-00094-00-001";"Mo 18.04.2016 15:15 +0200";"";"";""
"Viewpoint Meeting";"MVU4.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00093";"VPC-00093-00-001";"Mo 18.04.2016 15:14 +0200";"";"";""
"Viewpoint Eplass3";"UT9U.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00092";"VPC-00092-00-001";"Fr 15.04.2016 11:57 +0200";"";"";""
"Viewpoint Eplass2";"K8BL.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00091";"VPC-00091-00-001";"Fr 15.04.2016 11:19 +0200";"";"";""
"Eplass Viewpoint1";"CRQP.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00090";"VPC-00090-00-001";"Fr 15.04.2016 11:09 +0200";"";"";""
"SOR-test-3D";"GKOU.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00089";"VPC-00089-00-001";"Di 12.04.2016 11:06 +0200";"";"";""
"Hallway";"TOAI.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00058";"VPC-00058-00-001";"So 29.11.2015 21:36 +0200";"";"";""
"Top View 2";"Z2NG.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00057";"VPC-00057-00-001";"So 29.11.2015 21:30 +0200";"";"";""
"Top View 1";"0YOR.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00056";"VPC-00056-00-001";"So 29.11.2015 21:28 +0200";"";"";""
"Top View";"C2WQ.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00055";"VPC-00055-00-001";"So 29.11.2015 21:22 +0200";"";"";""
"Geländer (without Spaces)";"D4V0.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00053";"VPC-00053-00-001";"Di 24.11.2015 07:10 +0200";"";"";""
"OFF - wrong piping ";"X66T.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00028";"VPC-00028-01-001";"Di 06.10.2015 10:27 +0200";"";"";""
"OFF - MEP in roof area";"OJH4.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00027";"VPC-00027-01-001";"Di 06.10.2015 10:25 +0200";"";"";""
