"Active";"Deactivated On";"Reference Author";"Reference ID";"Reference Version";"Relatum 1 Name";"Relatum 1 Number - Revision - Version";"Relatum 1 Revision";"Relatum 1 number";"Relatum 2 Name";"Relatum 2 Number - Revision - Version";"Relatum 2 Revision";"Relatum 2 number"
"";"";"Dokumentablage, Company, think project!";"REL-02451";"V-001";"";"--";"";"";"";"--";"";""
"";"";"Dokumentablage, Company, think project!";"REL-00666";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00559";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005"
"";"";"Dokumentablage, Company, think project!";"REL-00562";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006"
"";"";"Dokumentablage, Company, think project!";"REL-00657";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-00658";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-02-V-003";"02";"PMC-00010"
"";"";"Dokumentablage, Company, think project!";"REL-00665";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-01-V-001";"01";"CMC-00130";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105"
"";"";"Dokumentablage, Company, think project!";"REL-00631";"V-001";"CLI_COORDINATION_ARC_01";"CMC-00130-02-V-001";"02";"CMC-00130";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00564";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00563";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_WE_ALL_MEP_400";"PMC-00003-01-V-001";"01";"PMC-00003"
"";"";"Dokumentablage, Company, think project!";"REL-00565";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00566";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005"
"";"";"Dokumentablage, Company, think project!";"REL-00567";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006"
"";"";"Dokumentablage, Company, think project!";"REL-00568";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-01-V-001";"01";"CMC-00132";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-00627";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_WE_ALL_MEP_400";"PMC-00003-01-V-001";"01";"PMC-00003"
"";"";"Dokumentablage, Company, think project!";"REL-00629";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00628";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005"
"";"";"Dokumentablage, Company, think project!";"REL-00626";"V-001";"CLI_COORDINATION_ARC-MEP_01";"CMC-00132-02-V-001";"02";"CMC-00132";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-01014";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-01015";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_WE_ALL_MEP_400";"PMC-00003-01-V-001";"01";"PMC-00003"
"";"";"Dokumentablage, Company, think project!";"REL-01012";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-01011";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005"
"";"";"Dokumentablage, Company, think project!";"REL-01013";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006"
