"BASIS number";"BASIS version";"BIM_Name";"CS Clash Group";"CS Clash Name";"CS Clash Version";"CS Tolerance";"Clash ID BIM";"Clash Point";"DL";"Days";"Deadline";"Description";"Distance";"Grid Location";"ID";"Item 1 ID";"Item 1 Layer";"Item 2 ID";"Item 2 Layer";"Name";"Responsible";"Status";"Support by";"Thumbnail";"View Position";"View Rotation"
"VCC-00103";"001";"viewer_test_clash_01";"";"";"";"";"";"";"";"";"";"";"";"";"VCC-00103-00-001";"";"";"";"";"viewer_test_clash_01";"";"";"";"";"";""
"VCC-00051";"001";"ARCH vs. MEP_Clash 1";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1024";"x:-47.230, y:16.815, z:2.966";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.502";"";"VCC-00051-00-001";"Pipe Types:Fire Protection:1002025";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):163889";"First Floor";"ARCH vs. MEP_Clash 1";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000001.jpg";"";""
"VCC-00052";"001";"ARCH vs. MEP_Clash 2";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1025";"x:-46.894, y:16.823, z:2.969";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.5";"";"VCC-00052-00-001";"Pipe Types:Fire Protection:1002025";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):349706";"First Floor";"ARCH vs. MEP_Clash 2";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000002.jpg";"";""
"VCC-00061";"001";"ARCH vs. MEP_Clash 11";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1034";"x:-27.998, y:18.684, z:2.982";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.328";"";"VCC-00061-00-001";"Pipe Types:Fire Protection:1026611";"Level 1";"Basic Wall:Interior - Partition (92mm Stud):169076";"First Floor";"ARCH vs. MEP_Clash 11";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000011.jpg";"";""
"VCC-00062";"001";"ARCH vs. MEP_Clash 12";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1035";"x:-43.600, y:43.159, z:7.552";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.322";"";"VCC-00062-00-001";"Pipe Types:Fire Protection:1048141";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):216242";"Second Floor";"ARCH vs. MEP_Clash 12";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000012.jpg";"";""
"VCC-00063";"001";"ARCH vs. MEP_Clash 13";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1036";"x:-20.290, y:26.785, z:7.546";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.303";"";"VCC-00063-00-001";"Pipe Types:Fire Protection:1051354";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):379701";"Second Floor";"ARCH vs. MEP_Clash 13";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000013.jpg";"";""
"VCC-00064";"001";"ARCH vs. MEP_Clash 14";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1037";"x:-43.476, y:40.311, z:7.570";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.288";"";"VCC-00064-00-001";"Pipe Types:Fire Protection:1048215";"Level 2";"Basic Wall:Interior - Partition (92mm Stud):216242";"Second Floor";"ARCH vs. MEP_Clash 14";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000014.jpg";"";""
"VCC-00065";"001";"ARCH vs. MEP_Clash 15";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1038";"x:-19.830, y:20.666, z:2.975";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.241";"";"VCC-00065-00-001";"Pipe Types:Fire Protection:1001498";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354757";"First Floor";"ARCH vs. MEP_Clash 15";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000015.jpg";"";""
"VCC-00066";"001";"ARCH vs. MEP_Clash 16";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1039";"x:-23.616, y:36.243, z:7.545";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.212";"";"VCC-00066-00-001";"Pipe Types:Fire Protection:1051688";"Level 2";"Basic Wall:Interior - Furring (38 mm Stud):219415";"Second Floor";"ARCH vs. MEP_Clash 16";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000016.jpg";"";""
"VCC-00067";"001";"ARCH vs. MEP_Clash 17";"Group1";"ARCH vs. MEP";"";"0.1";"Clash #1040";"x:-19.884, y:23.738, z:2.975";"24/12/2014";"24/12/2014";"24/12/2014";"<?xml version='1.0'?>
<xhtml><body>Hard</body></xhtml>";"-1.191";"";"VCC-00067-00-001";"Pipe Types:Fire Protection:1001738";"Level 1";"Basic Wall:Interior - Furring (38 mm Stud):354757";"First Floor";"ARCH vs. MEP_Clash 17";"Architekt, Antje, think project!";"New";"Haustechnik, Helga, think project!";"cd000017.jpg";"";""
