"Number";"Name";"Thumbnail";"Viewpoint Datei";"Selected Elements";"Hidden Elements";"Clipping";"BIM-BASIS_Number";"BIM-BASIS_ID";"BIM-BASIS Name-Number";"BIM-BASIS_Number KK";"BIM-BASIS_Num_Rev";"BIM-BASIS_Name";"Datum"
"#00102";"testr";"SAUZ.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00102";"VPC-00102-00-001";"testr-VPC-00102";"-/-";"VPC-00102-00";"testr";"Fr 23.09.2016 13:53 +0200"
"#00101";"WM";"TA24.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00101";"VPC-00101-00-001";"WM-VPC-00101";"-/-";"VPC-00101-00";"WM";"Di 26.07.2016 16:07 +0200"
"#00100";"Viewpoint Test";"BZQS.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00100";"VPC-00100-00-001";"Viewpoint Test-VPC-00100";"-/-";"VPC-00100-00";"Viewpoint Test";"Do 02.06.2016 18:37 +0200"
"#00099";"Test Viewpoint";"G4ZQ.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00099";"VPC-00099-00-001";"Test Viewpoint-VPC-00099";"-/-";"VPC-00099-00";"Test Viewpoint";"Fr 22.04.2016 13:33 +0200"
"#00095";"Import BCF";"snapshot.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00095";"VPC-00095-00-001";"Import BCF-VPC-00095";"VPC-00095";"VPC-00095-00";"Import BCF";"Fr 22.04.2016 11:18 +0200"
"#00096";"Import BCF 2";"snapshot.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00096";"VPC-00096-00-001";"Import BCF 2-VPC-00096";"VPC-00096";"VPC-00096-00";"Import BCF 2";"Fr 22.04.2016 11:15 +0200"
"#00097";"Import BCF 3";"snapshot.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00097";"VPC-00097-00-001";"Import BCF 3-VPC-00097";"VPC-00097";"VPC-00097-00";"Import BCF 3";"Fr 22.04.2016 11:14 +0200"
"#00094";"New Viewpoint";"XURW.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00094";"VPC-00094-00-001";"New Viewpoint-VPC-00094";"-/-";"VPC-00094-00";"New Viewpoint";"Mo 18.04.2016 15:15 +0200"
"#00093";"Viewpoint Meeting";"MVU4.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00093";"VPC-00093-00-001";"Viewpoint Meeting-VPC-00093";"-/-";"VPC-00093-00";"Viewpoint Meeting";"Mo 18.04.2016 15:14 +0200"
"#00092";"Viewpoint Eplass3";"UT9U.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00092";"VPC-00092-00-001";"Viewpoint Eplass3-VPC-00092";"-/-";"VPC-00092-00";"Viewpoint Eplass3";"Fr 15.04.2016 11:57 +0200"
"#00091";"Viewpoint Eplass2";"K8BL.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00091";"VPC-00091-00-001";"Viewpoint Eplass2-VPC-00091";"-/-";"VPC-00091-00";"Viewpoint Eplass2";"Fr 15.04.2016 11:19 +0200"
"#00090";"Eplass Viewpoint1";"CRQP.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00090";"VPC-00090-00-001";"Eplass Viewpoint1-VPC-00090";"-/-";"VPC-00090-00";"Eplass Viewpoint1";"Fr 15.04.2016 11:09 +0200"
"#00089";"SOR-test-3D";"GKOU.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00089";"VPC-00089-00-001";"SOR-test-3D-VPC-00089";"-/-";"VPC-00089-00";"SOR-test-3D";"Di 12.04.2016 11:06 +0200"
"#00058";"Hallway";"TOAI.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00058";"VPC-00058-00-001";"Hallway-VPC-00058";"VPC-00058";"VPC-00058-00";"Hallway";"So 29.11.2015 21:36 +0200"
"#00057";"Top View 2";"Z2NG.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00057";"VPC-00057-00-001";"Top View 2-VPC-00057";"VPC-00057";"VPC-00057-00";"Top View 2";"So 29.11.2015 21:30 +0200"
"#00056";"Top View 1";"0YOR.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00056";"VPC-00056-00-001";"Top View 1-VPC-00056";"VPC-00056";"VPC-00056-00";"Top View 1";"So 29.11.2015 21:28 +0200"
"#00055";"Top View";"C2WQ.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00055";"VPC-00055-00-001";"Top View-VPC-00055";"VPC-00055";"VPC-00055-00";"Top View";"So 29.11.2015 21:22 +0200"
"#00053";"Geländer (without Spaces)";"D4V0.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00053";"VPC-00053-00-001";"Geländer (without Spaces)-VPC-00053";"VPC-00053";"VPC-00053-00";"Geländer (without Spaces)";"Di 24.11.2015 07:10 +0200"
"#00028";"OFF - wrong piping ";"X66T.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00028";"VPC-00028-01-001";"OFF - wrong piping -VPC-00028";"VPC-00028";"VPC-00028-01";"OFF - wrong piping ";"Di 06.10.2015 10:27 +0200"
"#00027";"OFF - MEP in roof area";"OJH4.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00027";"VPC-00027-01-001";"OFF - MEP in roof area-VPC-00027";"VPC-00027";"VPC-00027-01";"OFF - MEP in roof area";"Di 06.10.2015 10:25 +0200"
"#00025";"CLI - Entrance at wrong position ";"0YIB.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00025";"VPC-00025-01-001";"CLI - Entrance at wrong position -VPC-00025";"VPC-00025";"VPC-00025-01";"CLI - Entrance at wrong position ";"Do 01.10.2015 13:43 +0200"
"#00024";"Querträger";"HDB7.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00024";"VPC-00024-01-001";"Querträger-VPC-00024";"VPC-00024";"VPC-00024-01";"Querträger";"Do 01.10.2015 09:33 +0200"
